date,positive
1/15/2021,1203550
1/16/2021,1219548
1/17/2021,1233390
1/18/2021,1245575
1/19/2021,1258087
1/20/2021,1271451
1/21/2021,1285337
1/22/2021,1300481
1/23/2021,1314267
1/24/2021,1326987
1/25/2021,1338990
1/26/2021,1350054
1/27/2021,1361082
1/28/2021,1374480
1/29/2021,1387059
1/30/2021,1399863
1/31/2021,1410656
2/1/2021,1419164
2/2/2021,1427379
2/3/2021,1433304
2/4/2021,1440718
2/5/2021,1449495
2/6/2021,1460747
2/7/2021,1470772
2/8/2021,1479220
2/9/2021,1487086
2/10/2021,1494187
2/11/2021,1504286
2/12/2021,1512690
2/13/2021,1521453
2/14/2021,1529769
2/15/2021,1536134
2/16/2021,1542887
2/17/2021,1548979
2/18/2021,1555773
2/19/2021,1564483
2/20/2021,1572175
2/21/2021,1578785
2/22/2021,1584931
2/23/2021,1591585
2/24/2021,1597774
2/25/2021,1606520
2/26/2021,1614724
2/27/2021,1622865
2/28/2021,1630445
3/1/2021,1636680
3/2/2021,1642480
3/3/2021,1650184
3/4/2021,1657777
3/5/2021,1666733
3/6/2021,1674380
3/7/2021,1681169
