date,positive
1/24/2021,266653
1/23/2021,266653
1/22/2021,266653
1/26/2021,269255
1/25/2021,269255
1/28/2021,272517
1/27/2021,272517
1/31/2021,274685
1/30/2021,274685
1/29/2021,274685
2/2/2021,276668
2/1/2021,276668
2/4/2021,278915
2/3/2021,278915
2/7/2021,281562
2/6/2021,281562
2/5/2021,281562
2/9/2021,282960
2/8/2021,282960
2/11/2021,284894
2/10/2021,284894
2/14/2021,286102
2/13/2021,286102
2/12/2021,286102
2/16/2021,287450
2/15/2021,287450
2/18/2021,288717
2/17/2021,288717
2/21/2021,290832
2/20/2021,290832
2/19/2021,290832
2/23/2021,291715
2/22/2021,291715
2/25/2021,292837
2/24/2021,292837
2/28/2021,293663
2/27/2021,293663
2/26/2021,293663
3/2/2021,294302
3/1/2021,294302
3/4/2021,295109
3/3/2021,295109
3/7/2021,295861
3/6/2021,295861
3/5/2021,295861
