date,positive
12/3/2020,185157
12/4/2020,188469
12/5/2020,191607
12/6/2020,194687
12/7/2020,196460
12/8/2020,197642
12/9/2020,201292
12/10/2020,204269
12/11/2020,206826
12/12/2020,209247
12/13/2020,211475
12/14/2020,212885
12/15/2020,213537
12/16/2020,214204
12/17/2020,214265
12/18/2020,217205
12/19/2020,220268
12/20/2020,222600
12/21/2020,222600
12/22/2020,226635
12/23/2020,227887
12/24/2020,230202
12/25/2020,233093
12/26/2020,233093
12/27/2020,236719
12/28/2020,236719
12/29/2020,238672
12/30/2020,240846
12/31/2020,242330
1/1/2021,246752
1/2/2021,246752
1/3/2021,246752
1/4/2021,255396
1/5/2021,256435
1/6/2021,258767
1/7/2021,260752
1/8/2021,264012
1/9/2021,268607
1/10/2021,271595
1/11/2021,271595
1/12/2021,276686
1/13/2021,278544
1/14/2021,281202
1/15/2021,283777
1/16/2021,285970
1/17/2021,285970
1/18/2021,289939
1/19/2021,289939
1/20/2021,291989
1/21/2021,294017
1/22/2021,296087
1/23/2021,298249
1/24/2021,300198
1/25/2021,300198
1/26/2021,302141
1/27/2021,303482
1/28/2021,305289
1/29/2021,307809
1/30/2021,309801
1/31/2021,311597
2/1/2021,311597
2/2/2021,313335
2/3/2021,314692
2/4/2021,316294
2/5/2021,317878
2/6/2021,319371
2/7/2021,320146
2/8/2021,320146
2/9/2021,323214
2/10/2021,324025
2/11/2021,324706
2/12/2021,326159
2/13/2021,327167
2/14/2021,328047
2/15/2021,328047
2/16/2021,328047
2/17/2021,329746
2/18/2021,330807
2/19/2021,332007
2/20/2021,332904
2/21/2021,333794
2/22/2021,333794
2/23/2021,334962
2/24/2021,335693
2/25/2021,336565
2/26/2021,337653
2/27/2021,338822
2/28/2021,339773
3/1/2021,339773
3/2/2021,340708
3/3/2021,341441
3/4/2021,342236
3/5/2021,343090
3/6/2021,343868
3/7/2021,344532
