date,positive
1/13/2021,2781039
1/14/2021,2816969
1/15/2021,2859624
1/16/2021,2900246
1/17/2021,2942475
1/18/2021,2973174
1/19/2021,2996968
1/20/2021,3019371
1/21/2021,3039044
1/22/2021,3062068
1/23/2021,3085040
1/24/2021,3109151
1/25/2021,3136158
1/26/2021,3153186
1/27/2021,3169914
1/28/2021,3186610
1/29/2021,3205947
1/30/2021,3224374
1/31/2021,3243348
2/1/2021,3258706
2/2/2021,3270770
2/3/2021,3281271
2/4/2021,3294447
2/5/2021,3308468
2/6/2021,3320862
2/7/2021,3335926
2/8/2021,3346340
2/9/2021,3354591
2/10/2021,3362981
2/11/2021,3371556
2/12/2021,3381615
2/13/2021,3391036
2/14/2021,3399878
2/15/2021,3406365
2/16/2021,3412057
2/17/2021,3416147
2/18/2021,3421720
2/19/2021,3428518
2/20/2021,3435186
2/21/2021,3441946
2/22/2021,3446611
2/23/2021,3450058
2/24/2021,3455361
2/25/2021,3460326
2/26/2021,3465726
2/27/2021,3470877
2/28/2021,3475562
3/1/2021,3479078
3/2/2021,3481611
3/3/2021,3484963
3/4/2021,3488467
3/5/2021,3493126
3/6/2021,3497578
3/7/2021,3501394
